;Sample01;Sample02;Sample03;Sample04;Sample05;Sample06;Sample07;Sample08;Sample09;Sample10;Sample11;Sample12;Sample13;Sample14;Sample15;Sample16;Sample17;Sample18;Sample19;Sample20;Sample21;Sample22;Sample23;Sample24;Sample25;Sample26;Sample27;Sample28;Sample29;Sample30;Sample31;Sample32;Sample33;Sample34;Sample35;Sample36;Sample37;Sample38;Sample39;Sample40;Sample41;Sample42;Sample43;Sample44;Sample45;Sample46;Sample47;Sample48;Sample49;Sample50;Sample51;Sample52;Sample53;Sample54;Sample55;Sample56;Sample57;Sample58;Sample59;Sample60;Sample61;Sample62;Sample63;Sample64;Sample65;Sample66;Sample67;Sample68;Sample69;Sample70;Sample71;Sample72;Sample73;Sample74;Sample75;Sample76;Sample77;Sample78;Sample79;Sample80;Sample81;Sample82;Sample83;Sample84;Sample85;Sample86;Sample87;Sample88;Sample89;Sample90;Sample91;Sample92;Sample93;Sample94;Sample95;Sample96;Sample97;Sample98;Sample99;Sample100;Sample101;Sample102;Sample103;Sample104;Sample105;Sample106;Sample107;Sample108;Sample109;Sample110;Sample111;Sample112;Sample113;Sample114;Sample115;Sample116;Sample117;Sample118;Sample119;Sample120;Sample121;Sample122;Sample123;Sample124;Sample125;Sample126;Sample127;Sample128;Sample129;Sample130;Sample131;Sample132;Sample133;Sample134;Sample135;Sample136;Sample137;Sample138;Sample139;Sample140;Sample141;Sample142;Sample143;Sample144;Sample145;Sample146;Sample147;Sample148;Sample149;Sample150;Sample151;Sample152;Sample153;Sample154;Sample155;Sample156;Sample157;Sample158;Sample159;Sample160;Sample161;Sample162;Sample163;Sample164;Sample165;Sample166;Sample167;Sample168;Sample169;Sample170;Sample171;Sample172;Sample173;Sample174;Sample175;Sample176;Sample177;Sample178;Sample179;Sample180;Sample181;Sample182;Sample183;Sample184;Sample185;Sample186;Sample187;Sample188;Sample189;Sample190;Sample191;Sample192;Sample193;Sample194;Sample195;Sample196;Sample197;Sample198;Sample199;Sample200;Sample201;Sample202;Sample203;Sample204;Sample205;Sample206;Sample207;Sample208;Sample209;Sample210;Sample211;Sample212;Sample213;Sample214;Sample215;Sample216
Sample97;0.869814;0.874711;0.832142;0.848489;0.836952;0.666522;0.869938;0.781397;0.802174;0.782507;0.793918;0.789194;0.862338;0.707167;0.783673;0.771416;0.84079;0.937098;0.848802;0.867959;0.834695;0.813545;0.89712;0.810603;0.826604;0.840962;0.879806;0.716733;0.781099;0.702155;0.805437;0.864847;0.763262;0.643803;0.719737;0.822315;0.862633;0.752068;0.71666;0.745724;0.809389;0.834897;0.669052;0.764995;0.357696;0.747538;0.724038;0.68904;0.605661;0.758832;0.675163;0.794903;0.709353;0.719675;0.675012;0.788368;0.893392;0.636464;0.784126;0.776672;0.81597;0.740634;0.773109;0.650865;0.714186;0.718875;0.721806;0.719231;0.76991;0.799085;0.665511;0.970417;0.936788;0.955979;0.938546;0.972642;0.789847;0.798079;0.777676;0.930517;0.959083;0.762601;0.764955;0.753435;0.967023;0.579415;0.561716;0.506995;0.618755;0.530292;0.794031;0.550805;0.581419;0.476265;0.508195;0.585729;0;0.575522;0.552444;0.82169;0.807045;0.943678;0.820746;0.85985;0.837978;0.799712;0.82043;0.890644;0.821825;0.821081;0.955222;0.926385;0.924031;0.984236;0.972927;0.95852;0.81286;0.727168;0.839768;0.82995;0.777196;0.767145;0.825483;0.768453;0.800654;0.879719;0.791947;0.797715;0.820586;0.778403;0.825265;0.80705;0.934697;0.951197;0.952591;0.948441;0.948237;0.950579;0.9561;0.959405;0.965832;0.961777;0.959128;0.946506;0.963196;0.951586;0.964926;0.965467;0.965323;0.961225;0.898489;0.9275;0.947679;0.918836;0.912348;0.884514;0.861825;0.860857;0.936605;0.913425;0.991886;0.977814;0.882303;0.882745;0.890213;0.950487;0.928385;0.973071;0.816576;0.826764;0.878721;0.886261;0.833684;0.899379;0.891803;0.920276;0.936725;0.919297;0.996033;0.957069;0.933451;0.95453;0.952325;0.908797;0.960516;0.982643;0.980872;0.971091;0.828784;0.931982;0.995976;0.970498;0.91016;0.988567;0.958543;0.981161;0.939265;0.927097;0.969612;0.964183;0.982619;0.935561;0.932817;0.989321;0.999023;0.999659;0.999907;0.926907;0.926272;0.918061;0.931609;0.91719;0.935601;0.860938;0.882758;0.851782
Sample98;0.86262;0.882004;0.815812;0.807951;0.881436;0.726578;0.842293;0.764112;0.770443;0.773818;0.790264;0.79802;0.850383;0.727765;0.774197;0.872155;0.827347;0.939633;0.886544;0.862164;0.864419;0.844048;0.880027;0.822649;0.825925;0.851184;0.908845;0.792274;0.787819;0.778129;0.805482;0.83306;0.680405;0.801916;0.715504;0.827958;0.833868;0.728742;0.703158;0.672276;0.75375;0.752448;0.637438;0.69776;0.783709;0.877006;0.776912;0.730547;0.920368;0.74847;0.708597;0.763315;0.698822;0.75379;0.723957;0.79139;0.886009;0.679722;0.765722;0.775277;0.816963;0.742959;0.783741;0.700111;0.717062;0.726857;0.755823;0.706654;0.76716;0.817014;0.715458;0.946286;0.943434;0.94654;0.941958;0.959858;0.752766;0.809432;0.764001;0.944956;0.983868;0.696317;0.755029;0.739969;0.991111;0.39746;0.451252;0.448382;0.515223;0.498732;0.751354;0.454565;0.527763;0.484203;0.442965;0.544236;0.575522;0;0.493208;0.82787;0.833088;0.915954;0.830945;0.84068;0.838734;0.816578;0.848874;0.946097;0.856058;0.825982;0.950343;0.923333;0.915425;0.983786;0.97176;0.951058;0.770274;0.746847;0.828209;0.826596;0.785247;0.747195;0.798514;0.723108;0.738945;0.822209;0.751695;0.757366;0.756368;0.726243;0.780623;0.803359;0.942969;0.956018;0.952053;0.947257;0.948512;0.950191;0.961933;0.967043;0.970509;0.968913;0.965037;0.944842;0.974705;0.966758;0.96943;0.972185;0.985527;0.984175;0.899065;0.916778;0.932268;0.927228;0.897272;0.869855;0.850659;0.852767;0.927473;0.882398;0.990826;0.975716;0.836299;0.81143;0.847733;0.932674;0.913137;0.966707;0.78023;0.777859;0.872652;0.878305;0.815412;0.903121;0.880082;0.912741;0.928743;0.899065;0.973859;0.93033;0.915753;0.93571;0.948317;0.894885;0.957734;0.982346;0.981315;0.982547;0.849005;0.928082;0.997689;0.971859;0.888673;0.976665;0.946398;0.985793;0.952653;0.927205;0.986445;0.985672;0.988449;0.949795;0.949492;0.993229;0.998971;0.999632;0.999933;0.915096;0.91263;0.900071;0.923777;0.911862;0.929963;0.827794;0.867559;0.837264
Sample99;0.897221;0.889;0.847837;0.848437;0.887434;0.688207;0.881224;0.826534;0.818004;0.746882;0.834373;0.822702;0.832023;0.769346;0.723645;0.871601;0.882376;0.908031;0.895102;0.823425;0.86547;0.83356;0.84325;0.790897;0.797263;0.826502;0.903676;0.7835;0.827326;0.763149;0.820892;0.847785;0.709195;0.811797;0.754555;0.805505;0.822532;0.674779;0.66316;0.623007;0.704579;0.743993;0.626791;0.713967;0.783575;0.870932;0.782019;0.77975;0.948824;0.776223;0.70531;0.764347;0.711619;0.778514;0.719833;0.813841;0.867705;0.636965;0.755975;0.694517;0.722643;0.762195;0.784043;0.689292;0.712629;0.705452;0.707292;0.704357;0.739721;0.777819;0.719448;0.980759;0.984751;0.978219;0.978281;0.978802;0.762537;0.717685;0.743586;0.981121;0.996461;0.779334;0.715257;0.757085;0.999015;0.423615;0.473945;0.426726;0.431053;0.4072;0.664078;0.387824;0.455064;0.323919;0.300083;0.346489;0.552444;0.493208;0;0.851429;0.837792;0.938388;0.849559;0.853075;0.825419;0.831105;0.861913;0.969413;0.877068;0.851607;0.963279;0.878548;0.877254;0.990576;0.978053;0.966102;0.803337;0.744318;0.835032;0.834814;0.792115;0.732925;0.750048;0.704466;0.733814;0.856248;0.793367;0.793384;0.761899;0.759985;0.765793;0.750609;0.962837;0.968445;0.96844;0.964776;0.965545;0.966729;0.975231;0.975932;0.978711;0.977706;0.975139;0.95976;0.978368;0.974183;0.980932;0.978477;0.994694;0.987501;0.907261;0.907884;0.940486;0.936734;0.910469;0.904256;0.880817;0.866285;0.941452;0.932294;0.990963;0.975469;0.862745;0.868696;0.881032;0.937658;0.91208;0.970517;0.823368;0.830286;0.88801;0.864834;0.834803;0.906569;0.893437;0.909606;0.930073;0.902196;0.998687;0.936271;0.908083;0.944187;0.952827;0.910017;0.950764;0.977015;0.985862;0.991587;0.838141;0.920458;0.997356;0.984657;0.886335;0.99287;0.949186;0.990784;0.961629;0.959272;0.995133;0.995491;0.993926;0.961357;0.953562;0.989488;0.998829;0.999547;0.999851;0.92309;0.924938;0.910171;0.933284;0.915833;0.929079;0.843079;0.88017;0.857871
Sample100;0.904527;0.814844;0.801986;0.847998;0.868319;0.846508;0.822224;0.908124;0.886651;0.833395;0.896468;0.865627;0.864633;0.866149;0.869179;0.870375;0.846666;0.921174;0.828753;0.895855;0.79829;0.873445;0.934559;0.852201;0.873891;0.898161;0.903121;0.881883;0.788273;0.84998;0.813532;0.817689;0.842556;0.865651;0.763816;0.809445;0.879928;0.821445;0.724137;0.851997;0.919694;0.838174;0.774693;0.825697;0.868317;0.8684;0.757949;0.822941;0.942902;0.745297;0.723924;0.814387;0.779056;0.788643;0.746018;0.765622;0.883812;0.747047;0.757862;0.842812;0.872987;0.814176;0.796847;0.668301;0.787403;0.762452;0.768427;0.762673;0.779967;0.802364;0.751711;0.954818;0.905147;0.920291;0.897454;0.961544;0.767852;0.8151;0.766423;0.913635;0.990969;0.764956;0.818814;0.735162;0.995725;0.845307;0.842014;0.841478;0.882685;0.848206;0.92064;0.821676;0.851543;0.852739;0.847308;0.869431;0.82169;0.82787;0.851429;0;0.328469;0.652419;0.321073;0.535662;0.441756;0.369629;0.450108;0.868522;0.453961;0.357233;0.866637;0.912325;0.935189;0.954268;0.91592;0.882968;0.820253;0.796533;0.832296;0.804878;0.82143;0.84346;0.88576;0.870609;0.860417;0.911144;0.807522;0.808082;0.830173;0.769654;0.839426;0.79192;0.943506;0.960155;0.951905;0.948319;0.948486;0.951032;0.958242;0.95922;0.962848;0.958152;0.953956;0.965955;0.962229;0.95125;0.968418;0.968266;0.985563;0.969603;0.865141;0.911756;0.899231;0.930607;0.874176;0.841313;0.829653;0.806284;0.933943;0.903929;0.97876;0.984408;0.872014;0.887381;0.873908;0.929367;0.927843;0.981493;0.784862;0.766944;0.856359;0.873305;0.839302;0.906852;0.887839;0.895711;0.943369;0.858521;0.995832;0.934273;0.924569;0.947605;0.960834;0.91816;0.96439;0.980661;0.952216;0.954112;0.723014;0.904958;0.99384;0.917288;0.885407;0.966555;0.933946;0.94203;0.964077;0.909908;0.959127;0.974051;0.948516;0.924956;0.945095;0.989045;0.999027;0.999639;0.999892;0.894831;0.886403;0.87913;0.898855;0.882357;0.907029;0.909895;0.919947;0.914808
Sample101;0.906953;0.796662;0.791121;0.85413;0.89652;0.844407;0.816285;0.899001;0.875719;0.753563;0.870099;0.868023;0.869097;0.838148;0.826463;0.849349;0.82518;0.912439;0.80636;0.888931;0.76424;0.886344;0.917921;0.856016;0.879364;0.839008;0.872119;0.862811;0.781691;0.82092;0.778032;0.799046;0.816537;0.824355;0.711183;0.78636;0.866614;0.789454;0.679547;0.843242;0.904991;0.832045;0.734248;0.843751;0.845229;0.86452;0.705372;0.786554;0.91576;0.721843;0.710328;0.754157;0.700648;0.681368;0.670301;0.719002;0.9154;0.670454;0.745658;0.827986;0.860832;0.844857;0.814649;0.666061;0.763331;0.716326;0.721857;0.731318;0.786147;0.809824;0.70718;0.975734;0.964948;0.960433;0.960807;0.977048;0.757944;0.780313;0.739683;0.965164;0.994064;0.713475;0.772866;0.734087;0.997656;0.83561;0.84751;0.838677;0.866089;0.850609;0.904959;0.815292;0.850392;0.848296;0.835248;0.862832;0.807045;0.833088;0.837792;0.328469;0;0.612732;0.269867;0.490801;0.357262;0.257086;0.314718;0.80356;0.313098;0.2875;0.897163;0.932049;0.919479;0.981;0.961098;0.901509;0.841435;0.796677;0.839791;0.821268;0.851722;0.855396;0.88027;0.85572;0.86024;0.924809;0.779154;0.778839;0.816229;0.727842;0.818573;0.757863;0.956854;0.965834;0.964219;0.958267;0.961038;0.963077;0.966588;0.966098;0.970226;0.967005;0.964097;0.970751;0.969829;0.960742;0.978794;0.973418;0.987294;0.977651;0.869604;0.911952;0.924592;0.935122;0.907161;0.893005;0.864969;0.82418;0.934821;0.896881;0.990388;0.987068;0.888849;0.900464;0.890263;0.949976;0.947405;0.980804;0.825481;0.783148;0.880925;0.886361;0.871908;0.941242;0.923518;0.930349;0.954062;0.89348;0.998041;0.950136;0.937124;0.958016;0.968417;0.927551;0.967881;0.983129;0.978585;0.983779;0.737682;0.912466;0.993978;0.960444;0.899194;0.982261;0.960172;0.987214;0.969256;0.922322;0.982907;0.979792;0.981635;0.960293;0.958932;0.992738;0.999071;0.999674;0.999934;0.906746;0.902047;0.892833;0.912532;0.896868;0.919912;0.916959;0.928848;0.92991
Sample102;0.951264;0.872549;0.843873;0.935691;0.947257;0.936245;0.929185;0.947346;0.934716;0.906556;0.938801;0.942058;0.933032;0.968956;0.957146;0.929551;0.92629;0.959932;0.905005;0.953869;0.900935;0.95203;0.959806;0.939711;0.947413;0.951611;0.971598;0.957348;0.870023;0.945123;0.92357;0.883797;0.866478;0.967486;0.796292;0.929961;0.919852;0.928914;0.85794;0.924527;0.951704;0.924711;0.892719;0.921209;0.971607;0.944288;0.934251;0.932427;0.971168;0.82724;0.808853;0.835105;0.834537;0.827082;0.879073;0.808251;0.931025;0.892298;0.916021;0.911464;0.918004;0.926539;0.863909;0.860102;0.86755;0.852571;0.870145;0.882858;0.895161;0.896563;0.85968;0.967374;0.966733;0.95656;0.957877;0.971556;0.916684;0.935638;0.920751;0.965305;0.996209;0.924749;0.929191;0.916432;0.998693;0.937674;0.943159;0.940847;0.958314;0.949546;0.96196;0.918308;0.937074;0.94741;0.940101;0.95508;0.943678;0.915954;0.938388;0.652419;0.612732;0;0.485571;0.740291;0.665806;0.611519;0.564756;0.922975;0.52483;0.630005;0.833933;0.939355;0.956388;0.97182;0.933937;0.845885;0.904601;0.918009;0.894464;0.885972;0.926767;0.918868;0.934845;0.926648;0.919513;0.93514;0.924145;0.928162;0.930466;0.920239;0.928883;0.926338;0.971074;0.980566;0.978807;0.976677;0.981796;0.983213;0.980316;0.987073;0.98814;0.987595;0.986128;0.983526;0.970543;0.959012;0.981361;0.978904;0.994614;0.999104;0.925743;0.951052;0.958109;0.961176;0.936141;0.932797;0.924809;0.923236;0.938384;0.898084;0.988234;0.990302;0.923417;0.918787;0.919978;0.943181;0.938645;0.984413;0.853716;0.831158;0.953358;0.929275;0.934317;0.964704;0.954411;0.960753;0.967156;0.919383;0.998289;0.964196;0.954192;0.96867;0.975191;0.939865;0.972906;0.986622;0.98969;0.999551;0.915498;0.948429;0.995195;0.95689;0.918068;0.984886;0.962646;0.953471;0.976406;0.970209;0.999076;0.999347;0.997693;0.969968;0.968321;0.993009;0.999146;0.99972;0.99995;0.963849;0.964707;0.957061;0.966382;0.964303;0.971791;0.957798;0.96745;0.965271
Sample103;0.911989;0.786498;0.772384;0.857034;0.890181;0.848447;0.822875;0.898092;0.879068;0.794286;0.884691;0.867957;0.879673;0.865014;0.851807;0.86016;0.832674;0.921734;0.811487;0.904416;0.781013;0.886597;0.927515;0.868638;0.884603;0.873935;0.890777;0.874976;0.790148;0.850402;0.804462;0.813903;0.819243;0.851116;0.714953;0.81203;0.88143;0.810236;0.700462;0.854376;0.916935;0.836569;0.755351;0.828088;0.861299;0.881245;0.744499;0.807707;0.93168;0.731228;0.707206;0.768933;0.72739;0.726643;0.713082;0.735338;0.907015;0.725665;0.76429;0.842854;0.874764;0.846367;0.805315;0.676362;0.767183;0.725272;0.751567;0.745674;0.772654;0.799946;0.719526;0.971606;0.931787;0.939384;0.9227;0.974402;0.765489;0.805833;0.765106;0.933457;0.990907;0.742832;0.802086;0.739671;0.996039;0.841715;0.845098;0.834367;0.868886;0.849698;0.911125;0.819124;0.853936;0.853848;0.845356;0.870676;0.820746;0.830945;0.849559;0.321073;0.269867;0.485571;0;0.512737;0.381141;0.307062;0.340047;0.845926;0.33131;0.329792;0.869159;0.930167;0.930705;0.970708;0.940349;0.874756;0.847325;0.81189;0.839496;0.81317;0.854807;0.860921;0.88887;0.870272;0.875058;0.927681;0.801562;0.801107;0.830632;0.756308;0.835777;0.783993;0.949318;0.964088;0.95793;0.955345;0.957115;0.959888;0.963321;0.96545;0.969422;0.965217;0.962263;0.969206;0.963548;0.953403;0.975962;0.971796;0.984077;0.968788;0.857008;0.912829;0.909702;0.933501;0.894756;0.878086;0.84958;0.8125;0.934183;0.890195;0.986332;0.986024;0.893728;0.906579;0.892696;0.943827;0.940432;0.981549;0.810309;0.777126;0.87884;0.886313;0.861882;0.924855;0.905634;0.912391;0.952729;0.874077;0.997605;0.957028;0.943865;0.960358;0.969244;0.922472;0.968551;0.984406;0.959846;0.963412;0.727937;0.916036;0.994395;0.944424;0.898229;0.977189;0.960902;0.961457;0.966764;0.907543;0.963565;0.973643;0.959653;0.943123;0.952565;0.992248;0.999131;0.999697;0.999877;0.910811;0.904531;0.898396;0.914778;0.901668;0.924548;0.922871;0.933824;0.931739
Sample104;0.952132;0.886513;0.890577;0.90394;0.948916;0.875863;0.884938;0.939475;0.92127;0.769516;0.931632;0.926165;0.889638;0.910835;0.820015;0.93069;0.909479;0.920496;0.895084;0.889346;0.862506;0.927385;0.87823;0.895746;0.905421;0.85112;0.903033;0.9183;0.869614;0.901684;0.833525;0.834055;0.872005;0.909956;0.833925;0.840521;0.854057;0.772956;0.745635;0.842629;0.871166;0.8378;0.806685;0.845545;0.906006;0.858971;0.802449;0.79809;0.942583;0.792172;0.776373;0.773346;0.764325;0.780923;0.735414;0.791461;0.844761;0.782505;0.772355;0.794325;0.817603;0.85327;0.824343;0.746829;0.776774;0.762492;0.806275;0.771112;0.754893;0.803011;0.788984;0.954333;0.934128;0.928166;0.922597;0.957986;0.751093;0.77217;0.815433;0.939619;0.991386;0.795922;0.759664;0.816982;0.997056;0.853643;0.874525;0.850317;0.846739;0.863323;0.838818;0.837238;0.881087;0.874389;0.863858;0.885879;0.85985;0.84068;0.853075;0.535662;0.490801;0.740291;0.512737;0;0.570766;0.475778;0.611366;0.908571;0.526421;0.489911;0.90934;0.86809;0.882084;0.974706;0.933895;0.907817;0.862397;0.869083;0.836206;0.814585;0.901618;0.887332;0.863104;0.867389;0.884235;0.924173;0.842093;0.843308;0.823454;0.802693;0.808627;0.775419;0.977517;0.982733;0.979932;0.978723;0.979561;0.980587;0.981332;0.984799;0.98633;0.983848;0.982351;0.98559;0.983212;0.979118;0.987974;0.985773;0.974902;0.959752;0.89456;0.886047;0.922753;0.915433;0.904922;0.896718;0.871409;0.855441;0.936881;0.928035;0.981182;0.982043;0.90374;0.910061;0.89777;0.955965;0.953607;0.976242;0.837617;0.833752;0.914429;0.908469;0.883377;0.932129;0.912838;0.91613;0.945791;0.877226;0.998105;0.953731;0.936086;0.954796;0.964557;0.920861;0.961234;0.981226;0.967368;0.973782;0.809951;0.903489;0.993373;0.951815;0.88927;0.977838;0.96287;0.980763;0.952358;0.907053;0.971778;0.965541;0.968936;0.948193;0.955296;0.992303;0.999122;0.999547;0.999726;0.938999;0.941993;0.928275;0.947764;0.936957;0.94866;0.944822;0.95592;0.954403
Sample105;0.921202;0.797608;0.802106;0.856698;0.899751;0.844302;0.817362;0.911093;0.893667;0.812106;0.900564;0.88281;0.869225;0.863418;0.842161;0.880718;0.857416;0.910865;0.837077;0.886234;0.800546;0.881924;0.921745;0.855751;0.87213;0.877807;0.894524;0.878919;0.791924;0.855102;0.805139;0.785939;0.853439;0.868893;0.714133;0.803749;0.873196;0.801583;0.679132;0.845237;0.899527;0.846277;0.768884;0.860864;0.873672;0.870139;0.629934;0.668087;0.941039;0.776219;0.757496;0.809901;0.771984;0.791614;0.730501;0.796873;0.91406;0.744237;0.668724;0.709965;0.850433;0.854959;0.843527;0.684176;0.758903;0.77811;0.781299;0.535731;0.733298;0.627309;0.779229;0.97437;0.974797;0.967939;0.968515;0.976021;0.709564;0.78041;0.755528;0.973332;0.996816;0.70103;0.702036;0.699731;0.998974;0.851486;0.863043;0.851498;0.869431;0.856354;0.892252;0.826994;0.84627;0.846903;0.838152;0.865739;0.837978;0.838734;0.825419;0.441756;0.357262;0.665806;0.381141;0.570766;0;0.39403;0.455772;0.887715;0.44485;0.416513;0.928358;0.85372;0.851303;0.983919;0.966132;0.929093;0.855175;0.830792;0.856776;0.852457;0.858763;0.861056;0.649601;0.848152;0.842683;0.916855;0.762829;0.755503;0.770342;0.726736;0.777122;0.737884;0.961026;0.971536;0.967946;0.952672;0.953598;0.955771;0.957451;0.950376;0.95639;0.953947;0.94881;0.974685;0.972013;0.965401;0.978646;0.975523;0.990937;0.987621;0.897113;0.923462;0.933164;0.944272;0.904737;0.89037;0.845871;0.825514;0.935862;0.879126;0.989863;0.984608;0.885;0.898802;0.886424;0.874649;0.903916;0.977867;0.844756;0.746461;0.788383;0.809018;0.868657;0.848162;0.822628;0.821688;0.835942;0.79013;0.998699;0.938798;0.908192;0.935711;0.944149;0.921889;0.960925;0.98109;0.984608;0.99288;0.703105;0.904127;0.994524;0.968521;0.887347;0.988653;0.950556;0.977399;0.971456;0.92869;0.992364;0.991349;0.989699;0.924904;0.900768;0.978839;0.999192;0.999672;0.999879;0.90291;0.898933;0.890356;0.913967;0.899696;0.917791;0.916149;0.932294;0.931454
Sample106;0.913211;0.809972;0.78607;0.867604;0.906234;0.849709;0.81715;0.897285;0.881891;0.74856;0.880245;0.879963;0.874829;0.850122;0.815996;0.851775;0.842407;0.920389;0.805613;0.892694;0.764082;0.890263;0.912476;0.85809;0.878921;0.839478;0.87714;0.864691;0.792809;0.839379;0.769518;0.820928;0.801546;0.830263;0.706155;0.808901;0.864533;0.779462;0.645598;0.835607;0.903886;0.81359;0.72442;0.835023;0.850476;0.864284;0.719105;0.761229;0.922551;0.692072;0.67446;0.721451;0.672643;0.667976;0.660429;0.677252;0.885763;0.678598;0.764301;0.801414;0.853109;0.818236;0.788589;0.671341;0.740685;0.712456;0.725048;0.714345;0.772775;0.805074;0.695192;0.958895;0.946838;0.937668;0.943233;0.966655;0.716989;0.775422;0.742931;0.954183;0.995737;0.698246;0.74823;0.697598;0.998656;0.827708;0.842626;0.835609;0.861755;0.84092;0.895213;0.803997;0.846857;0.846186;0.825112;0.865263;0.799712;0.816578;0.831105;0.369629;0.257086;0.611519;0.307062;0.475778;0.39403;0;0.285922;0.801191;0.356694;0.322732;0.869071;0.876304;0.886952;0.970136;0.941736;0.87595;0.811821;0.768048;0.811939;0.793368;0.828275;0.858208;0.858413;0.852417;0.852534;0.920242;0.762163;0.763386;0.800125;0.715676;0.799766;0.739633;0.956915;0.967333;0.964071;0.95873;0.961211;0.963606;0.967418;0.968566;0.971959;0.969865;0.966376;0.971286;0.969864;0.961134;0.976984;0.973871;0.986077;0.983254;0.873957;0.912981;0.929908;0.933335;0.893802;0.87415;0.847076;0.81555;0.924784;0.897307;0.983845;0.987405;0.885687;0.899392;0.883202;0.935289;0.93298;0.979754;0.808107;0.771853;0.892734;0.88387;0.877363;0.936502;0.913335;0.921089;0.946325;0.875993;0.998566;0.948062;0.934166;0.950978;0.962668;0.919815;0.965946;0.985214;0.980045;0.988752;0.726873;0.906718;0.994405;0.941252;0.885918;0.986865;0.950901;0.985042;0.963504;0.925525;0.987965;0.984568;0.985411;0.956416;0.954944;0.988658;0.999141;0.999699;0.999907;0.910793;0.909889;0.896757;0.91715;0.902895;0.924658;0.922974;0.937011;0.936879
Sample107;0.899504;0.809481;0.755627;0.863636;0.885183;0.854311;0.823626;0.890328;0.867752;0.762443;0.862756;0.861412;0.880991;0.849246;0.83238;0.820181;0.806996;0.920991;0.782203;0.902662;0.754974;0.890988;0.924189;0.8681;0.890916;0.845878;0.876516;0.858636;0.789791;0.831338;0.770146;0.835407;0.794849;0.81738;0.708101;0.813122;0.869705;0.808961;0.6741;0.851398;0.924555;0.821375;0.73292;0.865438;0.863128;0.908634;0.726088;0.787215;0.929031;0.665653;0.661868;0.700839;0.654362;0.624583;0.667944;0.64968;0.958916;0.672396;0.792377;0.847849;0.887962;0.859603;0.829768;0.681717;0.778907;0.728313;0.732578;0.744017;0.82218;0.844605;0.712467;0.999505;0.99856;0.998092;0.999012;0.999432;0.774644;0.801267;0.753739;0.998655;0.998625;0.711855;0.782743;0.697536;0.999614;0.85938;0.872655;0.864519;0.889886;0.876535;0.923641;0.837417;0.866862;0.867415;0.848752;0.883653;0.82043;0.848874;0.861913;0.450108;0.314718;0.564756;0.340047;0.611366;0.455772;0.285922;0;0.774735;0.364032;0.410886;0.847276;0.944151;0.914842;0.998093;0.984095;0.864585;0.819283;0.7714;0.837752;0.81608;0.829702;0.879082;0.891383;0.867333;0.872321;0.939805;0.758739;0.758995;0.822437;0.719613;0.82488;0.760649;0.945883;0.957281;0.955254;0.949585;0.955389;0.958867;0.958969;0.960442;0.965537;0.964076;0.9599;0.964445;0.964991;0.95396;0.975711;0.972206;0.999786;0.999533;0.875071;0.938048;0.941936;0.957333;0.91364;0.893074;0.864637;0.840103;0.939613;0.911632;0.99477;0.99299;0.895184;0.914034;0.891434;0.94067;0.935249;0.985801;0.829249;0.777245;0.906149;0.896191;0.903255;0.957796;0.9345;0.943718;0.967838;0.912546;0.999631;0.963896;0.951613;0.967079;0.975726;0.937078;0.977769;0.989399;0.992919;0.999685;0.72732;0.92613;0.995408;0.97058;0.910863;0.999235;0.976966;0.999275;0.982298;0.94485;0.999279;0.999653;0.999001;0.980966;0.972209;0.997099;0.999219;0.99982;0.999984;0.915658;0.911481;0.901693;0.918091;0.905599;0.929487;0.926733;0.937926;0.937763
