	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample90	Sample91	Sample92	Sample93	Sample94	Sample95
Sample56	0.0948599	0.113729	0.169279	0.136314	0.172288	0.0929642	0.0721684	0.113166	0.0710848	0.10029	0.102777	0.130012	0.101693	0.161822	0.127488	0.115072	0.115759	0.119475	0.125591	0.105187	0.0926182	0.0893096	0.153758	0.0967827	0.151725	0.097811	0.0843302	0.118097	0.0932547	0.122949	0.0931382	0.0820539	0.110455	0.100359	0.117475	0.0870931	0.0958412	0.115169	0.0777792	0.0799845	0.0863968	0.0939605	0.0974869	0.145921	0.0834041	0.0856154	0.138904	0.0926757	0.0923321	0.106126	0.119583	0.128799	0.148524	0.159669	0.074396	0	0.0758046	0.137753	0.0735677	0.10374	0.11566	0.114684	0.0969736	0.105811	0.0763368	0.0920479	0.11188	0.0906559	0.0848964	0.184461	0.0949205	0.0774628	0.0892038	0.150203	0.14291	0.140776	0.11676	0.095409	0.0994698	0.103293	0.114204	0.112794	0.0601155	0.0765286	0.123536	0.113073	0.180176	0.111519	0.121459	0.0914296	0.0931382	0.124131	0.0742869	0.0946784	0.0984667
Sample57	0.0651655	0.0672166	0.129199	0.0961527	0.125715	0.0850869	0.117681	0.0811785	0.0536708	0.0448126	0.0700961	0.0661476	0.102558	0.0969099	0.09343	0.0958412	0.0996734	0.0747617	0.0749459	0.0631415	0.0717924	0.0552118	0.0724442	0.0940198	0.0931382	0.0553849	0.0451304	0.0972937	0.0915974	0.0833583	0.0732484	0.0732131	0.0867434	0.0971013	0.0913739	0.0466675	0.139407	0.0708186	0.0567115	0.0699663	0.0352724	0.0792356	0.0531993	0.0886788	0.0424367	0.0423196	0.0780182	0.0531789	0.043755	0.0627124	0.0857123	0.0739976	0.121122	0.14043	0.0882637	0.0758046	0	0.0754289	0.0192888	0.0600907	0.0753169	0.110984	0.0795667	0.0629263	0.0642645	0.0579733	0.0784198	0.0799845	0.0773055	0.124371	0.0627124	0.05103	0.0519203	0.0799845	0.0877506	0.0952252	0.0787441	0.0526739	0.0603145	0.154223	0.0736747	0.0990657	0.0785411	0.0610198	0.0453226	0.0802797	0.137268	0.180587	0.064348	0.0450666	0.053057	0.134014	0.0514916	0.0551902	0.0858093
Sample58	0.0565317	0.0564421	0.138407	0.0782989	0.14999	0.134163	0.141653	0.108738	0.0846123	0.0881605	0.0986654	0.0795252	0.0580201	0.0780182	0.0867434	0.0793181	0.112426	0.133716	0.0883671	0.110106	0.131683	0.116861	0.0800266	0.0926182	0.0473443	0.0931964	0.0983347	0.0886267	0.0923321	0.0825885	0.0848964	0.0851824	0.0828585	0.0618432	0.0840967	0.0870931	0.0931964	0.0635483	0.077188	0.102997	0.0977459	0.130149	0.1198	0.0824989	0.0834957	0.0972295	0.077188	0.0772663	0.107168	0.108403	0.0796083	0.0717924	0.0451943	0.0782185	0.0670663	0.137753	0.0754289	0	0.0826783	0.0695792	0.0645437	0.0840036	0.110543	0.109076	0.109076	0.110368	0.0747985	0.101197	0.0999463	0.0646841	0.0885226	0.107658	0.108403	0.0757292	0.0677323	0.0649098	0.0560198	0.0717245	0.0699338	0.0641811	0.0617912	0.0675495	0.125099	0.108822	0.0919348	0.0927332	0.077819	0.106444	0.0709182	0.100498	0.108236	0.120127	0.109502	0.108236	0.0955321
Sample59	0.0863968	0.0819654	0.154223	0.113166	0.153298	0.113823	0.139071	0.0918784	0.0705872	0.065798	0.0800686	0.0923321	0.116057	0.120566	0.114491	0.103219	0.121234	0.0864955	0.0946784	0.0705872	0.0744324	0.0636576	0.0855188	0.106524	0.0967827	0.063385	0.056847	0.129065	0.119909	0.114395	0.0935473	0.0876996	0.110193	0.123183	0.115267	0.0586572	0.17663	0.103665	0.0752053	0.0833126	0.0494626	0.0812218	0.055061	0.112518	0.0564869	0.0584199	0.108153	0.0683172	0.0530368	0.0789891	0.0996054	0.103441	0.126593	0.175137	0.110543	0.0735677	0.0192888	0.0826783	0	0.0769152	0.0901121	0.127747	0.0930221	0.0793594	0.0780582	0.0700311	0.106444	0.102052	0.0926182	0.172635	0.0808337	0.0603894	0.0601651	0.0945579	0.116861	0.117167	0.0941388	0.0659433	0.0793181	0.178567	0.0883153	0.123892	0.0915414	0.0719629	0.0716566	0.0981375	0.164079	0.181843	0.0856638	0.0588962	0.0632766	0.162655	0.0614549	0.0641534	0.0964036
Sample60	0.0672769	0.0760318	0.156129	0.081092	0.153298	0.0970374	0.116457	0.0897357	0.0580669	0.0535472	0.0930801	0.074909	0.0860531	0.0739976	0.0824989	0.0897892	0.103441	0.0978761	0.0760698	0.0913182	0.10857	0.0846595	0.0936649	0.0908755	0.0791944	0.0851346	0.0678854	0.0718946	0.074909	0.0678241	0.0760698	0.0778587	0.0607916	0.0723406	0.0981375	0.0619214	0.117992	0.0575554	0.0596227	0.0785411	0.0577173	0.106285	0.0917657	0.0959033	0.0464838	0.0506501	0.0711516	0.0555371	0.0652797	0.0832214	0.0808337	0.0590644	0.0834041	0.0867434	0.0824095	0.10374	0.0600907	0.0695792	0.0769152	0	0.0614034	0.105342	0.0958412	0.0843771	0.0788664	0.0793594	0.0649098	0.0892567	0.0897357	0.0873447	0.0758802	0.0770319	0.0732484	0.0946181	0.0669764	0.0736747	0.0636302	0.0588483	0.0556462	0.109674	0.0589682	0.0775022	0.0831758	0.0769929	0.0708186	0.0897892	0.0875979	0.142547	0.0731073	0.0647686	0.0739616	0.113353	0.0675191	0.0765286	0.120127
Sample61	0.0753169	0.0785411	0.201619	0.0837258	0.210114	0.103965	0.11298	0.147304	0.0764518	0.0743233	0.158119	0.0740698	0.068039	0.0644317	0.0929063	0.0924463	0.0949813	0.0999463	0.0691644	0.162376	0.130149	0.0908205	0.101622	0.0741782	0.0719629	0.0914855	0.0788664	0.0690377	0.0747985	0.0649949	0.0731778	0.104191	0.068039	0.0674281	0.0957792	0.0819213	0.114299	0.0532604	0.0636302	0.086843	0.076184	0.130562	0.120236	0.0933131	0.0617393	0.06974	0.0753169	0.0720655	0.0760318	0.171263	0.114013	0.0519989	0.070885	0.0862	0.0730721	0.11566	0.0753169	0.0645437	0.0901121	0.0614034	0	0.0852783	0.0917095	0.170592	0.101056	0.0874964	0.0640426	0.0996734	0.0918784	0.0668569	0.0650517	0.0876996	0.0903288	0.101056	0.0641811	0.0651655	0.0432693	0.0593789	0.0572795	0.0937829	0.0693234	0.0696113	0.110193	0.0885226	0.0817014	0.106604	0.0831758	0.119153	0.0724788	0.0816575	0.0889405	0.193877	0.0988651	0.0944978	0.120677
Sample62	0.088993	0.14999	0.0867434	0.0623675	0.0974224	0.117888	0.157113	0.102124	0.107494	0.132255	0.112061	0.161003	0.0667972	0.0958412	0.0797751	0.125715	0.133864	0.0872439	0.0739976	0.113353	0.125715	0.132399	0.124491	0.068535	0.101409	0.0852303	0.0892038	0.084424	0.0858093	0.0760698	0.10404	0.0987318	0.0818332	0.107494	0.16322	0.100567	0.0941984	0.070885	0.0699015	0.0903831	0.106047	0.128799	0.121912	0.152617	0.103441	0.127617	0.0874964	0.0974224	0.12723	0.115562	0.0853262	0.0847068	0.0946181	0.0762221	0.133567	0.114684	0.110984	0.0840036	0.127747	0.105342	0.0852783	0	0.0516274	0.116357	0.116057	0.108907	0.0656822	0.120677	0.102486	0.0826334	0.0927908	0.0903288	0.1314	0.101908	0.0929642	0.115562	0.0714538	0.0854224	0.0792356	0.114974	0.0837258	0.115169	0.127102	0.10725	0.131683	0.128533	0.0740337	0.150849	0.16437	0.109588	0.123066	0.0919913	0.114684	0.123654	0.110631
Sample63	0.0670363	0.087043	0.127747	0.102851	0.140603	0.0905466	0.108654	0.135689	0.0900042	0.0880576	0.131968	0.0897892	0.0923321	0.118097	0.0838182	0.106365	0.103293	0.0766056	0.0947993	0.130424	0.118411	0.0970374	0.0946784	0.101409	0.120127	0.0900042	0.0744689	0.134767	0.0899503	0.0960902	0.096656	0.126089	0.0963407	0.120899	0.110895	0.0752425	0.151504	0.0892038	0.0790301	0.0781784	0.0780182	0.106047	0.115169	0.0980066	0.0775022	0.0786628	0.101836	0.0901662	0.0863475	0.133272	0.0774234	0.100359	0.133567	0.13084	0.112426	0.0969736	0.0795667	0.110543	0.0930221	0.0958412	0.0917095	0.0516274	0	0.132833	0.0928485	0.0927332	0.0777395	0.0927908	0.0850391	0.188197	0.073639	0.0817892	0.0886267	0.103815	0.108319	0.102558	0.0951641	0.0835876	0.0896287	0.179364	0.118306	0.121346	0.0901121	0.0745054	0.0948599	0.102052	0.151504	0.247037	0.0925608	0.0850869	0.0940198	0.105811	0.0814391	0.0988651	0.0976162
Sample64	0.0812652	0.100359	0.0931964	0.101126	0.0814391	0.211692	0.270747	0.0399018	0.0624204	0.0638771	0.0408213	0.141476	0.0874458	0.157362	0.199098	0.140086	0.197292	0.165251	0.146509	0.0393922	0.0841899	0.106047	0.161822	0.218593	0.101056	0.0587765	0.0641257	0.139745	0.172984	0.15307	0.169279	0.0462185	0.148731	0.15863	0.169279	0.0718265	0.102851	0.109331	0.086545	0.101693	0.0689745	0.0742869	0.0619475	0.124855	0.0783392	0.0858093	0.100083	0.0581607	0.100986	0.0120665	0.122255	0.102631	0.11197	0.109246	0.149356	0.105811	0.0629263	0.109076	0.0793594	0.0843771	0.170592	0.116357	0.132833	0	0.0791533	0.0936649	0.128533	0.107822	0.157613	0.101908	0.135226	0.0736033	0.0866937	0.142009	0.127747	0.159933	0.140603	0.0829037	0.0921614	0.157613	0.0618692	0.185827	0.100846	0.107412	0.0990657	0.097358	0.101126	0.194429	0.106684	0.0738897	0.0830849	0.0894157	0.0868929	0.0776999	0.075131
Sample65	0.0794008	0.0707855	0.0989318	0.12974	0.093842	0.0940793	0.0818772	0.0871936	0.0541699	0.0670663	0.0829489	0.0882637	0.121346	0.117888	0.111699	0.0792356	0.105342	0.109502	0.105032	0.0815263	0.0543168	0.0527743	0.111251	0.122833	0.101908	0.068039	0.036071	0.105342	0.0965927	0.106285	0.0827233	0.0759559	0.105109	0.105811	0.111073	0.0501068	0.122833	0.0944978	0.0721684	0.0639598	0.056197	0.0786222	0.0679775	0.0869429	0.052474	0.0547827	0.0975515	0.053383	0.064098	0.0800686	0.100428	0.0864955	0.100498	0.146312	0.0795667	0.0763368	0.0642645	0.109076	0.0780582	0.0788664	0.101056	0.116057	0.0928485	0.0791533	0	0.035076	0.0787441	0.0678547	0.0670063	0.148524	0.087043	0.0460373	0.044295	0.107987	0.106047	0.0729668	0.102268	0.0650232	0.0773448	0.13663	0.0843771	0.0952252	0.0694831	0.0787034	0.0693872	0.0618432	0.134163	0.16322	0.0892567	0.0623147	0.0484748	0.13342	0.0819213	0.047619	0.0824095
Sample66	0.0830849	0.0751681	0.100428	0.0927908	0.106524	0.0886267	0.0874964	0.0916534	0.0636302	0.0742144	0.0798169	0.0875471	0.113823	0.110631	0.104267	0.0782185	0.0825436	0.0913739	0.0927332	0.0764518	0.0557338	0.049118	0.104116	0.0930801	0.0939012	0.0608169	0.0399153	0.0749829	0.0757292	0.091041	0.0773841	0.0866937	0.0939605	0.0986654	0.104267	0.0519596	0.128799	0.0899503	0.069101	0.0600659	0.0538571	0.0828585	0.0678241	0.0851346	0.0563305	0.0586334	0.0970374	0.065137	0.0534445	0.0941984	0.0974224	0.0817014	0.103293	0.129065	0.0899503	0.0920479	0.0579733	0.110368	0.0700311	0.0793594	0.0874964	0.108907	0.0927332	0.0936649	0.035076	0	0.0841899	0.0717245	0.06298	0.124131	0.0769152	0.0465672	0.0478265	0.0999463	0.0849915	0.074725	0.0853262	0.0604895	0.0670963	0.135689	0.068817	0.0791944	0.0758802	0.0714201	0.0645998	0.0555807	0.109331	0.159146	0.0819213	0.0571651	0.0493171	0.123536	0.0756539	0.050443	0.086843
Sample67	0.0607663	0.0702265	0.08157	0.0558875	0.0915414	0.0846595	0.107576	0.114395	0.0607916	0.0742144	0.128799	0.0727918	0.0670963	0.0786222	0.0697723	0.0894689	0.0889405	0.0694192	0.0612239	0.132688	0.117888	0.0888356	0.0786222	0.0625794	0.0690693	0.0835416	0.0720998	0.0642645	0.0702918	0.0520382	0.0756163	0.09343	0.0623675	0.0732131	0.0949813	0.0674584	0.0864461	0.0463509	0.0520382	0.0722716	0.0646278	0.113446	0.108654	0.0714201	0.056983	0.0653083	0.056644	0.0512408	0.0768375	0.13084	0.0905466	0.0581372	0.0708186	0.0659142	0.0810057	0.11188	0.0784198	0.0747985	0.106444	0.0649098	0.0640426	0.0656822	0.0777395	0.128533	0.0787441	0.0841899	0	0.0784602	0.0692916	0.080322	0.0725135	0.0755413	0.0763368	0.0829942	0.0645437	0.0725135	0.0614549	0.0542958	0.0602148	0.0995376	0.0682243	0.0754664	0.112243	0.0913182	0.0607663	0.09343	0.0830849	0.138243	0.0886788	0.0708518	0.0819654	0.0983347	0.0813955	0.0831758	0.0998779
Sample68	0.07339	0.071018	0.0999463	0.131542	0.107494	0.0747985	0.0708186	0.112426	0.0729317	0.0743596	0.120566	0.096656	0.132543	0.0919913	0.103219	0.102924	0.0834957	0.0999463	0.107412	0.110193	0.104495	0.0893627	0.0951641	0.0974224	0.0852303	0.073037	0.074396	0.0857608	0.0743233	0.0989987	0.0662649	0.102413	0.109933	0.110455	0.0925608	0.0904375	0.12237	0.0928485	0.0715889	0.0857123	0.0697723	0.104648	0.101267	0.0897892	0.0717924	0.0677018	0.0878016	0.0718605	0.0779384	0.108738	0.0782587	0.0942581	0.101836	0.131683	0.084424	0.0906559	0.0799845	0.101197	0.102052	0.0892567	0.0996734	0.120677	0.0927908	0.107822	0.0678547	0.0717245	0.0784602	0	0.0379382	0.115562	0.0894157	0.0792356	0.081092	0.102196	0.112887	0.115957	0.111699	0.0752797	0.0823648	0.162098	0.0952252	0.0915414	0.058349	0.100567	0.0713192	0.0764134	0.140603	0.197292	0.0657111	0.0737821	0.081092	0.135844	0.0867932	0.0821868	0.0786628
Sample69	0.0747617	0.0763368	0.111251	0.0944978	0.13759	0.0693553	0.0558655	0.157613	0.0798169	0.0868929	0.147304	0.0955937	0.113823	0.112061	0.0834041	0.0787034	0.0676408	0.085858	0.0878527	0.124491	0.10389	0.081092	0.0993347	0.0739256	0.0842834	0.0854224	0.0700961	0.0841899	0.0616356	0.0721684	0.047293	0.127359	0.087043	0.106047	0.105968	0.0770708	0.162098	0.0732131	0.0722028	0.084424	0.0698368	0.11566	0.0969736	0.0962153	0.0746883	0.0767988	0.11028	0.0812652	0.0701938	0.159407	0.10389	0.100359	0.0941984	0.133272	0.0694192	0.0848964	0.0773055	0.0999463	0.0926182	0.0897357	0.0918784	0.102486	0.0850391	0.157613	0.0670063	0.06298	0.0692916	0.0379382	0	0.147707	0.0857608	0.0758424	0.0772663	0.124251	0.0953477	0.106047	0.0913739	0.0656244	0.0689114	0.14183	0.109846	0.0728267	0.0595738	0.0767601	0.0723751	0.0782587	0.149356	0.174408	0.0898966	0.0728967	0.0791944	0.134616	0.0786628	0.0822313	0.104955
Sample70	0.0848014	0.10359	0.12634	0.0662649	0.102268	0.215885	0.18918	0.103145	0.103965	0.140086	0.0984667	0.118516	0.0675799	0.0593789	0.13663	0.0967827	0.139407	0.115463	0.0749829	0.11894	0.167067	0.184461	0.145341	0.0721684	0.0545914	0.106206	0.121459	0.0650801	0.0900042	0.0771489	0.0909306	0.0842366	0.0786222	0.0659433	0.116659	0.0998096	0.0818772	0.0615322	0.0779384	0.116659	0.130562	0.186292	0.151285	0.107905	0.118411	0.198488	0.0733545	0.0912626	0.192258	0.101693	0.154692	0.0634394	0.0550825	0.0667377	0.0915414	0.184461	0.124371	0.0646841	0.172635	0.0873447	0.0668569	0.0826334	0.188197	0.101908	0.148524	0.124131	0.080322	0.115562	0.147707	0	0.110984	0.119153	0.162937	0.0925608	0.0509727	0.0680082	0.0512985	0.077819	0.076954	0.0674888	0.065856	0.0771489	0.191209	0.175506	0.103219	0.125715	0.0532196	0.0978761	0.0730721	0.129876	0.158119	0.112794	0.180587	0.153528	0.129876
Sample71	0.0567792	0.0627925	0.163791	0.0979413	0.134163	0.0806624	0.116257	0.137753	0.0796916	0.0614034	0.114491	0.0566215	0.0785411	0.086843	0.0740337	0.116257	0.0770708	0.0639598	0.0734255	0.133567	0.116257	0.0817892	0.0687855	0.0873447	0.0940198	0.0766056	0.069101	0.105576	0.0820096	0.0771489	0.0781383	0.119475	0.0803644	0.0631684	0.0837258	0.0717584	0.136788	0.0618953	0.0670963	0.0809196	0.0626059	0.116057	0.111519	0.0712521	0.0604895	0.0576247	0.0662649	0.0797333	0.0602148	0.13492	0.0805344	0.0867434	0.105576	0.106765	0.0752797	0.0949205	0.0627124	0.0885226	0.0808337	0.0758802	0.0650517	0.0927908	0.073639	0.135226	0.087043	0.0769152	0.0725135	0.0894157	0.0857608	0.110984	0	0.0519792	0.0814827	0.0609436	0.077819	0.0766828	0.054128	0.0796916	0.0784198	0.101056	0.086545	0.0824541	0.0920479	0.0776999	0.0610198	0.0939012	0.144579	0.163504	0.0592334	0.073037	0.0800686	0.0860042	0.0650801	0.0847541	0.0943179
Sample72	0.0669465	0.0737463	0.0955937	0.0789891	0.0881091	0.0848014	0.115169	0.0761078	0.0539819	0.0631415	0.0752053	0.0917095	0.0774234	0.102704	0.101338	0.0749829	0.104955	0.0646278	0.0762985	0.0670063	0.0456293	0.04164	0.0961527	0.0852783	0.0810057	0.0467513	0.0293575	0.10359	0.09343	0.0920479	0.0787441	0.0728267	0.0820096	0.0880063	0.117372	0.0395121	0.112702	0.0775812	0.056847	0.0516469	0.040228	0.0681315	0.053383	0.0881605	0.0548681	0.0556025	0.0773448	0.0593303	0.0500696	0.0737463	0.0944377	0.087043	0.0967827	0.113918	0.106047	0.0774628	0.05103	0.107658	0.0603894	0.0770319	0.0876996	0.0903288	0.0817892	0.0736033	0.0460373	0.0465672	0.0755413	0.0792356	0.0758424	0.119153	0.0519792	0	0.0326063	0.0976162	0.0941388	0.0723061	0.0829037	0.0507068	0.0716905	0.127877	0.0653656	0.100776	0.0753916	0.0636302	0.0555153	0.0624204	0.117785	0.156373	0.084471	0.0497555	0.03974	0.0907107	0.0547188	0.0395255	0.0698691
Sample73	0.0789891	0.0689745	0.112518	0.110807	0.106444	0.0884707	0.104648	0.0972295	0.0530773	0.0645998	0.0894689	0.0785817	0.115957	0.112794	0.103665	0.0756916	0.108907	0.0797751	0.0855188	0.0782989	0.0468017	0.0415401	0.105342	0.0959655	0.0876487	0.0605146	0.0353885	0.113259	0.0960902	0.102196	0.0829942	0.0854706	0.0929063	0.103293	0.103815	0.0401461	0.134464	0.0919348	0.0679775	0.0574401	0.0429545	0.0771099	0.0525938	0.0846123	0.0484748	0.0517248	0.098599	0.0544222	0.0477919	0.0869429	0.0952864	0.0849915	0.104648	0.161003	0.0956555	0.0892038	0.0519203	0.108403	0.0601651	0.0732484	0.0903288	0.1314	0.0886267	0.0866937	0.044295	0.0478265	0.0763368	0.081092	0.0772663	0.162937	0.0814827	0.0326063	0	0.105032	0.0982689	0.0714538	0.0937239	0.0537949	0.0750569	0.137915	0.0842834	0.0971654	0.0788256	0.0660307	0.0567341	0.065194	0.153298	0.160733	0.0847068	0.0505558	0.0411716	0.141653	0.0617652	0.0415116	0.0829489
Sample74	0.0817014	0.0622357	0.0707523	0.111699	0.0785817	0.111429	0.1314	0.125964	0.0936649	0.0808337	0.129469	0.0598929	0.130012	0.0756916	0.065137	0.119475	0.0992673	0.0829037	0.0782989	0.14515	0.176252	0.111609	0.0467178	0.0773448	0.0949813	0.104495	0.0985328	0.117065	0.0876996	0.103441	0.108991	0.125222	0.110631	0.0721684	0.0786628	0.0951031	0.105498	0.0901121	0.103367	0.117992	0.0908755	0.198488	0.192258	0.0706202	0.0895221	0.0860042	0.064098	0.0955321	0.0931964	0.142367	0.0524142	0.0906559	0.103071	0.107331	0.0753916	0.150203	0.0799845	0.0757292	0.0945579	0.0946181	0.101056	0.101908	0.103815	0.142009	0.107987	0.0999463	0.0829942	0.102196	0.124251	0.0925608	0.0609436	0.0976162	0.105032	0	0.0732484	0.0838182	0.0818772	0.106047	0.101836	0.0894157	0.0941388	0.0885746	0.110631	0.0928485	0.0752797	0.105109	0.0859554	0.129334	0.0710848	0.0976162	0.108487	0.108487	0.101693	0.111519	0.162098
Sample75	0.0722372	0.0753169	0.12723	0.0765671	0.119909	0.112152	0.12237	0.0955937	0.0686288	0.0862	0.116157	0.0747617	0.0772663	0.0781383	0.0919913	0.0923321	0.0995376	0.106845	0.0754664	0.123536	0.159146	0.114587	0.102924	0.0679775	0.0715213	0.0918784	0.088993	0.0603145	0.0702918	0.0536089	0.0727569	0.0862	0.0596962	0.063385	0.0880063	0.086151	0.0791533	0.0535266	0.067916	0.089151	0.0920479	0.177782	0.164079	0.0741782	0.0799006	0.0956555	0.0651655	0.0709847	0.0997414	0.125468	0.102052	0.0525738	0.0571195	0.0754664	0.0624204	0.14291	0.0877506	0.0677323	0.116861	0.0669764	0.0641811	0.0929642	0.108319	0.127747	0.106047	0.0849915	0.0645437	0.112887	0.0953477	0.0509727	0.077819	0.0941388	0.0982689	0.0732484	0	0.0570057	0.0425249	0.0557119	0.0458082	0.063385	0.0538987	0.0712521	0.120788	0.108907	0.0789891	0.0989987	0.0557776	0.0859067	0.091041	0.0879038	0.106285	0.111609	0.113634	0.110455	0.13759
Sample76	0.0513178	0.0746883	0.115562	0.0920479	0.122833	0.11894	0.117992	0.142009	0.0744689	0.0838182	0.0886267	0.0603145	0.0532604	0.0646841	0.0941388	0.0731425	0.100567	0.109417	0.084424	0.158887	0.0951031	0.0807051	0.0704228	0.0764134	0.0588483	0.120566	0.066708	0.0624468	0.0775812	0.0708186	0.0808766	0.106926	0.0755038	0.037837	0.058349	0.0619736	0.0716566	0.0432843	0.0799006	0.0724096	0.0937829	0.204284	0.186292	0.0395924	0.0830395	0.0939605	0.0627658	0.0801529	0.100015	0.163791	0.11197	0.0654804	0.0520776	0.0589682	0.0598929	0.140776	0.0952252	0.0649098	0.117167	0.0736747	0.0651655	0.115562	0.102558	0.159933	0.0729668	0.074725	0.0725135	0.115957	0.106047	0.0680082	0.0766828	0.0723061	0.0714538	0.0838182	0.0570057	0	0.04486	0.0719287	0.0668867	0.0634122	0.0598929	0.0619214	0.110631	0.100015	0.0590162	0.0516469	0.0679467	0.0610707	0.0623939	0.100567	0.0725135	0.10542	0.108319	0.0730018	0.173336
Sample77	0.0611728	0.0691327	0.113353	0.0762603	0.134163	0.109246	0.118097	0.119583	0.0677323	0.0804493	0.0902745	0.0614292	0.0605397	0.0640426	0.0850869	0.0833583	0.0927332	0.0922182	0.0708518	0.134767	0.128138	0.098072	0.0811785	0.0632766	0.0538987	0.0874458	0.0794422	0.0594032	0.0670063	0.0511448	0.066827	0.0989318	0.0630606	0.0494626	0.0726524	0.0759181	0.0829037	0.0432843	0.056689	0.0829037	0.0747985	0.129604	0.117785	0.0654516	0.065137	0.0761078	0.0695472	0.0698691	0.0821425	0.141125	0.100015	0.0620782	0.0408631	0.0715889	0.0523347	0.11676	0.0787441	0.0560198	0.0941388	0.0636302	0.0432693	0.0714538	0.0951641	0.140603	0.102268	0.0853262	0.0614549	0.111699	0.0913739	0.0512985	0.054128	0.0829037	0.0937239	0.0818772	0.0425249	0.04486	0	0.0540236	0.047619	0.0631145	0.049082	0.0581842	0.117372	0.0983347	0.0656822	0.0896287	0.0605899	0.0744689	0.0696435	0.0835416	0.0933131	0.108319	0.104116	0.0988651	0.115463
Sample78	0.065769	0.0699338	0.102777	0.0704228	0.0983347	0.0878016	0.100916	0.0787441	0.0464006	0.0596962	0.0850391	0.0804493	0.0689114	0.0796916	0.097358	0.0823648	0.101622	0.0862	0.0686288	0.0760698	0.0744324	0.061558	0.107822	0.0720998	0.0597944	0.054128	0.0478612	0.0674281	0.0664415	0.0593789	0.0631145	0.0716566	0.0656244	0.0768375	0.103145	0.0540653	0.0959033	0.0563751	0.050014	0.067916	0.0450984	0.0784602	0.0621569	0.0825436	0.0483512	0.0545278	0.0764134	0.0468522	0.0518029	0.0834957	0.101765	0.0581607	0.0613007	0.0859067	0.0769929	0.095409	0.0526739	0.0717245	0.0659433	0.0588483	0.0593789	0.0854224	0.0835876	0.0829037	0.0650232	0.0604895	0.0542958	0.0752797	0.0656244	0.077819	0.0796916	0.0507068	0.0537949	0.106047	0.0557119	0.0719287	0.0540236	0	0.0361664	0.0889405	0.0495721	0.0695151	0.0723061	0.0694831	0.0562192	0.0750939	0.0758424	0.112152	0.0860042	0.0485989	0.0565317	0.129469	0.0711182	0.0598436	0.081092
Sample79	0.0682552	0.0801951	0.132399	0.0785817	0.150203	0.0972295	0.0959033	0.0808766	0.0548895	0.0524939	0.0905466	0.0802374	0.0790301	0.0778587	0.0946181	0.0851824	0.0929063	0.0985328	0.0708518	0.0878016	0.10774	0.0848489	0.102924	0.0619475	0.0765671	0.0769152	0.0684727	0.0482105	0.0632225	0.0438163	0.0594032	0.0777395	0.056644	0.0695472	0.0994698	0.0658851	0.0886267	0.0462019	0.053057	0.0758424	0.0616615	0.103071	0.0955321	0.101126	0.0594275	0.0609436	0.0753542	0.0565317	0.068039	0.0926182	0.096278	0.0587288	0.0601651	0.0892038	0.0687541	0.0994698	0.0603145	0.0699338	0.0793181	0.0556462	0.0572795	0.0792356	0.0896287	0.0921614	0.0773448	0.0670963	0.0602148	0.0823648	0.0689114	0.076954	0.0784198	0.0716905	0.0750569	0.101836	0.0458082	0.0668867	0.047619	0.0361664	0	0.0803644	0.0463177	0.0634122	0.0681315	0.0725829	0.0741059	0.0695792	0.0652511	0.0991328	0.0790301	0.0676103	0.0771489	0.137915	0.0723751	0.0804068	0.112335
Sample80	0.0797333	0.0742869	0.181002	0.100428	0.121912	0.13084	0.104116	0.120346	0.0611728	0.137753	0.114108	0.10404	0.0701612	0.100986	0.129604	0.100152	0.130701	0.150417	0.102924	0.165848	0.151946	0.14515	0.128799	0.0672468	0.0687541	0.126215	0.124977	0.0681315	0.0741782	0.0865945	0.101551	0.0780582	0.0989318	0.0461689	0.0768375	0.125222	0.0513178	0.0783795	0.102413	0.123536	0.157113	0.201619	0.190693	0.0842834	0.134464	0.159669	0.110895	0.106524	0.165251	0.157613	0.139916	0.0980066	0.052474	0.0781784	0.0701287	0.103293	0.154223	0.0641811	0.178567	0.109674	0.0937829	0.114974	0.179364	0.157613	0.13663	0.135689	0.0995376	0.162098	0.14183	0.0674888	0.101056	0.127877	0.137915	0.0894157	0.063385	0.0634122	0.0631145	0.0889405	0.0803644	0	0.0848014	0.0655379	0.0947388	0.0904375	0.11134	0.103665	0.0822313	0.0483336	0.101765	0.14999	0.139916	0.142009	0.175506	0.139745	0.142367
